Con,Contp,PP,PPName,Reg,AgtId,Ver,Agt,Dat,Status,Lgt,N_characters,Agtp,Stage,StageSub,Part,ThrdPart,OthAgr,Loc1ISO,Loc2ISO,Loc1GWNO,Loc2GWNO,UcdpCon,UcdpAgr,PamAgr,CowWar,Interim,WggPar,WggGenQuot,WggEffPart,WggCitizen,WggParOth,WggEq,WggEqGen,WggSocEq,WggEqOth,WggGrp,WggIndNom,WggRefDisp,WggPreg,WggGrpOth,WggIntLaw,WggHR,WggHrSta,WggUnsc,WggIntLawOth,WggNewInst,WggInstWom,WggInf,WggRecon,WggNewInstOth,WggVio,WggVioSex,WggVioGen,WggVioProt,WggVioOth,WggTraJus,WggPast,WggPri,WggTraJusOth,WggInstRef,WggConst,WggLawRef,WggJud,WggPol,WggDdr,WggPubAdm,WggInstRefOth,WggDev,WggDevGen,WggRehab,WggEdu,WggHea,WggRepro,WggDevOth,WggImpl,WggImplRole,WggImplSign,WggImplOth,WggOth
"Democratic Republic of Congo",Government,28,"DRC: Second Congo war process","Africa (excl MENA)",1303,1,"Draft Constitution of the Transition",2003-04-01,"Multiparty signed/agreed",60,93134,Intra,SubComp,FrCons,"For the Rassemblement Congolais pour la Démocratie / Mouvement de Libération du Congo (RCD-ML): (three signatories all illegible)

For the Rassemblement Congolais pour la Démocratie/National (RCD-N): 
[Signature illegible] 
 
For the Maï-Maï: 
 
Subject to reservations: - Problem of nationality, idea of an “integrated nation”, the Head of State has to be the Head of Government at the same time. 

29 SIGNATORIES For the Political Opposition (no signatures in the document)

27 SIGNATORIES For Civil Society (no signatures in the document)","WITNESSES:

His Excellency Mr Thabo Mbeki, President of the Republic of South Africa and Chairman in office of the African Union,represented by His Excellency His Excellency Mr Sydney Mufamadi, Minister of Provincial and Local Government,

His Excellency Mr Moustapha Niasse,Special Envoy of the Secretary General of the United Nations for Inter-Congolese Dialogue, representing His Excellency Mr Kofi Annan, Secretary General of the OAU 
","Page 3, TITLE I: GENERAL PROVISIONS, Article 1

The Constitution of the transition of the Democratic Republic of Congo was drawn up based on the Comprehensive and Inclusive Agreement on Transition in the Democratic Republic of the Congo.",COD,,490,,283,1289,,905,Yes,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Democratic Republic of Congo",Government,28,"DRC: Second Congo war process","Africa (excl MENA)",213,1,"Acte d'Engagement Gaborone",2001-08-24,"Multiparty signed/agreed",2,4718,Intra,Pre,Conf,"Unsigned copy. 
The parties are defined in the agreement as: The Government of the Democratic Republic of Congo, the Congo Liberation Movement (Mouvement pour la Libération du Congo, MLC), the Congolese Rally for Democracy (Rassemblement pour la Démocratie, RCD), the political opposition organisations and groups, and the “life-blood” of the nation.","In the presence of Ketumile Masire (then President of Botswana) as the neutral  facilitator of the inter-congolese political negotiations","- Lusaka Ceasefire Agreement signed on 10 and 30 July, and 31 August, 1999, in Lusaka, 
- The relevant resolutions of the United Nations Security Council on the Inter-Congolese political negotiations
- the Declaration of Fundamental Principles signed in Lusaka on 4 May 2001 by the signatory Parties to the above Agreement",COD,,490,,283,,,905,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Democratic Republic of Congo",Government,28,"DRC: Second Congo war process","Africa (excl MENA)",319,1,"Ceasefire Agreement (Lusaka Agreement)",1999-07-10,"Multiparty signed/agreed",30,28999,Intra,Cea,CeaMix,"The Republic of Angola, the Democratic Republic of the Congo, The Republic of Namibia, The Republic of Rwanda, The Republic of Uganda, The Republic of Zimbabwe. Movement for the Liberation of the Congo (signed on 01/08/1999). 

Congolese Rally for Democracy (RCD) (signed on 31/08/1999)","AS WITNESSES:

The Republic of Zambia, the Organization for African Unity (OAU), the United Nations and the Southern African Development Community (SADC)","Page 2, Annex , Preamble

RECALLING the Pretoria Summit Communiwue dated 23rd August, 1998 re-affirming that all ethnic groups and nationalities whose people and territory constituted what became Congo (now DRC) at independence must enjoy equal rights and protection under the law as citizens.

Page 3, Annex , Preamble

REITERATING the call made at the Second Victoria Falls Summit held from 7 to 8 September, 1998 as contained in the Joint Communiqué of the Summit, for the immediate cessation of hostilities:

Page 3, Annex , Preamble

RECALLING the mandate, contained in the Victoria Falls II Joint Communiqué, give to the Minister of Defence and other officials working in close cooperation with OAU and the UN to establish the modalities for effecting an immediate ceasefire and put in place a mechanism for monitoring compliance with the ceasefire provisions:

Page 3, Annex , Preamble

RECALLING further the Peace Agreement signed on 18 April, 1999 at Sirte (Libya);

",COD,,490,,283,1004,,905,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia/Kenya,Inter-group,140,"Kenya Local Agreements","Africa (excl MENA)",1910,2,"Validation of the Reviews and Amendments on Dukana-Dillo-Maikona Declaration",2017-08-31,"Multiparty signed/agreed",2,7210,IntraLocal,Imp,ExtSub,"Signed by Dambala Bonaya, Tura Roba, Dambala Sharamo, Charto Boru and Mamo Supo from the Gabra community and Aba Gada Kura Jarso, Boru Dima, Jaro Tukele, Alaje Gurme, and Galgalo Jarso from the Borana community.
","Witnessed by: 
Solomon Gubo Rine, Deputy Governor Marsabit County
Job Kemei, Deputy County Commissioner, Noal Horr
Dida Jaldesa, Chielf of Zone 1 Cabinet and Head of Admin Office
Doyo Borte, Dillo Woreda Administrator","Page 1, 1, Introduction and Background:
Dukana-Dillo-Maikona peace declaration was first support by the Kenya National Steering Committee (NSC) in 20009.  The declaration was a cross border solutions to the prolonged community conflict between Boranas of Ethiopia and Gabras of Kenya.  As a result of this declaration, the conflict was mitigated to a great extend enabling the two communities live together, share grazing and watering resources , opened cross border trade and enabled education and health services sharing especially on the Kenyan side.  However, with the introduction of a USAID funded program dabbed PEACE III, in partnership with Strategies for Northern Development (SND) and Inter African Group (AIG), the two communities identified the need to revise the declaration and its amendment due to the prevailing circumstances identified as inconsistencies, ambiguity and double punishment inflicted on suspect.  The parties, in one of PEACE III activities suggested the need to review some key clauses such as age specification of cattle that is used for blood compensation.  On May 31, 2017 at Koet-Borana Hotel Moyale- Ethiopia, PEACE III and its partners facilitated a community meeting that reviewed and mended the Dukana-Dillo-Maikona Declaration. This meeting gave forth the reviews and amendments on the Dukana-Dillo-Maikona declaration peace process which PEACE III helped document and is here presented for validation. 
",KEN,ETH,501,530,NA,NA,NA,NA,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,Government,45,"Guatemala peace process",Americas,284,1,"Agreement on the Implementation, Compliance and Verification Timetable for the Peace Agreements",1996-12-29,"Multiparty signed/agreed",36,61052,Intra,Imp,ImpMod,"For the Government of Guatemala:
Signed:

Gustavo PORRAS CASTEJON
Richard AITKENHEAD CASTILLO
Raquel ZELAYA ROSALES	
Otto PEREZ MOLINA Brigadier General

For the Unidad Revolucionaria National Guatemalteca:
Signed:

Jorge E. ROSAL MELENDEZ
Ricardo RAMIREZ DE LEON (Commander Rolando MORÁN
Jorge Ismael SOTO GARCÍA (Commander Pablo MONSANTO)
Ricardo ROSALES ROMÁN (Carlos GONZÁLES)","For the Untied Nations:
(Signed) Jean ARNAULT","Page 18, ANNEX II, III. TIMETABLE FROM 15 APRIL TO 31 DECEMBER 1997, E. Agreement on Social and Economic Aspects and the Agrarian Situation

System of urban and rural development councils to ensure public participation
86. In keeping with the Agreement on Resettlement of the Population Groups Uprooted by the Armed Conflict and the Agreement on Identity and Rights of Indigenous Peoples, the Government undertakes, as a matter of priority, to:
(i) re-establish the local development councils; (ii) sponsor an amendment to the Urban and Rural Development Council Act to broaden the range of sectors participating in the departmental and regional development councils; and
(iii) provide adequate funding for the council system, so as to promote public participation in identifying local priorities, the design of public programmes and projects and the integration of national urban and rural development policy.

Page 21, ANNEX II, III. TIMETABLE FROM 15 APRIL TO 31 DECEMBER 1997, E. Agreement on Social and Economic Aspects and the Agrarian Situation

Agrarian and environmental jurisdiction
107. Promote the establishment of an agrarian and environmental jurisdiction within the judiciary, taking into account the provisions of the Agreement on Identity and Rights of Indigenous Peoples.

Prompt settlement of land disputes
108. Taking into account the commitments made in the Agreement on Resettlement of the Population Groups Uprooted by the Armed Conflict and the Agreement on Identity and Rights of Indigenous Peoples and the recommendations on the Joint Commission on Rights relating to Indigenous Peoples' Land, the Government undertakes to establish and apply flexible procedures for the settlement of disputes over land and other natural resources (in particular, direct settlement and conciliation). In addition, it shall establish procedures for defining formulas for compensation in the case of land disputes and claims in which farmers, small farmers and communities in a situation of extreme poverty have been or may be dispossessed for reasons not attributable to them. The uprooted population will require special attention in this connection.

Page 25, ANNEX II, IV. TIMETABLE FOR 1998, 1999 AND 2000, B. Agreement on Identity and Rights of Indigenous Peoples

Customary law
143. With the participation of indigenous organizations and taking into account the conclusions of the Joint Commission on Reform and Participation and the Joint Commission on Rights relating to Indigenous Peoples' Land, sponsor in the Congress of the Republic the necessary action to fulfil the commitments made in section E of the Agreement on Identity and Rights of Indigenous Peoples.",GTM,,90,,233,1097,,809,No,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Guatemala,Government,45,"Guatemala peace process",Americas,291,1,"Agreement on the Social and Economic Aspects and Agrarian Situation",1996-05-06,"Multiparty signed/agreed",30,63182,Intra,SubPar,MultIss,"For the Government of the Republic of Guatemala:
Signed by:

Gustavo PORRAS CASTEJÓN

Brigadier General Otto PÉREZ MOLINA

Raquel ZELAYA ROSALES

Richard AITKENHEAD CASTILLO

For the Unidad Revolucionaria Nacional Guatemalteca, General Command
Signed by:

Commander Pablo MONSANTO

Commander Rolando MORÁN

Commander Gaspar ILOM

Carlos GONZALES","For the United Nations
Signed by:

Marrack GOULDING, Under-Secretary-General

Jean ARNAULT, Moderator

Page 1,  Letter dated 24 May 1996 from the Secretary-General addressed to the President of the General Assembly, para 1

(The signing ceremony took place at the Mexican Foreign Ministry in the presence of Mr. Angel Gurría, Foreign Minister, and, amongst others, senior officials of the countries that are members of the Group of Friends of the Guatemalan Peace Process (Colombia, Mexico, Norway, Spain, the United States of America and Venezuela), representatives of the Assembly of Civil Society and other Guatemalan personalities.)","Page 10, Annex, II. SOCIAL DEVELOPMENT, A. Education and training
Adjustment of educational curricula
(b) Adjust educational curricula in accordance with the objectives set out in paragraph 21. These adjustments will take into account the conclusions of the Education Reform Commission established by the Agreement on Identity and Rights of Indigenous Peoples;

",GTM,,90,,233,1091,,809,No,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0
Guatemala,Government,45,"Guatemala peace process",Americas,283,1,"Agreement on the Identity and Rights of Indigenous Peoples",1995-03-31,"Multiparty signed/agreed",19,45658,Intra,SubPar,MultIss,"For the Government of the Republic of Guatemala,
Signed by:￼￼

Héctor ROSADA GRANADOS
Antonio ARENALES FORNO
Mario PERMUTH
Brigadier General, Carlos Enrique PINEDA CARRANZA
Brigadier General, Julio Arnoldo BALCONI TURCIOS
Brigadier General José Horacio SOTO SALAN
￼￼￼￼Rubén Amilcar BURGOS SOLIS   
Manuel SALAZAR TETZAGUIC


For the Unidad Revolucionaria Nacional Guatemalteca:
General Command

Commander Gaspar ILOM        
Commander Rolando MORAN
Commander Pablo MONSANTO     
Carlos GONZALES
","Political and Diplomatic Commission, 
Signed by:

Luis Felipe BECKER GUZMAN    
Miguel Angel SANDOVAL
Francisco VILLAGRAN MUÑOZ    
Luz MENDEZ GUTIERREZ

Advisers:

Mario Vinicio CASTAÑEDA

Miguel Angel REYES

For the United Nations:

Gilberto Bueno SCHLITTLER-SILVA, Director, Guatemala Unit
Jean ARNAULT, Moderator
",,GTM,,90,,233,1090,,809,No,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
Guatemala,Government,45,"Guatemala peace process",Americas,273,1,"Agreement on Resettlement of the Population Groups uprooted by the Armed Conflict",1994-06-17,"Multiparty signed/agreed",10,23822,Intra,SubPar,Iss,"For the Government of the Republic of Guatemala
Signed by:

Héctor ROSADA GRANADOS
General Carlos Enrique PINEDA CARRANDA
Antonio ARENALES FORNO
General Julio Arnoldo BALCONI TURCIOS
Mario PERMUTH 
General José Horacio SOTO SALAN
Amilcar BURGOS SOLIS

For the Unidad Revolucionaria Nacional Guatemalteca, General Command, 
Signed by:
Commander Rolando MORAN 
Commander Pablo MONSANTO
Commander Gaspar ILOM 
Carlos GONZALEZ","'Political and Diplomatic Commission', 
Signed:

Luis Felipe BECKER GUZMAN 
Miguel Angel SANDOVAL
Francisco VILLAGRAN MUNOZ 
Luz MENDEZ GUTIERREZ

Advisers
Signed by:
Mario Vinicio CASTAÑEDA 
Miguel Angel REYES
Jorge ROSAL

For the United Nations
(Signed) Jean ARNAULT, Moderator","Page 3, II. GUARANTEES FOR THE RESETTLEMENT OF UPROOTED POPULATION GROUPS, Objectives
1. Full respect for human rights and fundamental freedoms is essential for the security and dignity of resettlement processes. The Parties reiterate their decision to comply fully with the Comprehensive Agreement on Human Rights, which took effect on 29 March 1994, promoting respect for the human rights of uprooted populations, one of the vulnerable sectors which deserve particular attention, with special vigilance.

Page 9, VI. FINAL PROVISION
In accordance with the Framework Agreement of 10 January 1994, this Agreement shall be subject to international verification by the United Nations.

Page 1, PREAMBLE
... Reiterating that the present Agreement together with those to be signed on the other agenda items in the negotiation process form part of an agreement on a firm and lasting peace and shall enter into force at the time of the signing of such agreement, with the exception of matters relating to the Technical Committee referred to in section V of this agreement and in paragraph 4 of that section,",GTM,,90,,233,1088,,809,No,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Indonesia/Aceh,Government/territory,55,"Indonesia-Aceh peace process","Asia and Pacific",325,1,"Cessation of Hostilities Framework Agreement between the Government of the Republic of Indonesia and the Free Aceh Movement",2002-12-09,"Multiparty signed/agreed",6,15498,Intra,Cea,CeaMix,"For the Government of the Republic of Indonesia, Amb. Mr. S. Wiryono; For the Leadership of the Free Aceh Movement Dr. Zaini Abdullah
","Witnessed by Henry Dunant Centre for Humanitarian Dialogue (HDC), Mr. Martin Griffiths","10 May 2002 Joint Statement; ",IDN,,850,,366,1111,,912,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia/Aceh,Government/territory,55,"Indonesia-Aceh peace process","Asia and Pacific",108,1,"Agreement Reached by both Field Commanders of the RI and the GAM",2001-02-10,"Multiparty signed/agreed",2,2433,Intra,Cea,Ceas,"Representatives of the GAM, On behalf of Field Commanders of the AGAM,
1. TKG. AMRI BIN ABDUL WAHAB
2. TGK. SAIFUL BIN MUHAMMAD ALI

Representatives of the Government of the RI on Behalf of Field Commanders of the Aceh Police,
1. KOM. BES. DRS. SUYITNO
2. KOM. BES. POL. DRS. MANAHAN DAULAY

Witnessed by the Joint Committee of Security Modality of the RI and the GAM
Representative of the Free Aceh Movement (GAM
Tgk. Nashiruddin bin Ahmed

Representative of the Government of the RI
Kom. Bes. Drs. Ridhwan Karim","The meeting was facilitated by Henry Dunant Center (HDC) ",,IDN,,850,,366,,,912,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia/Aceh,Government/territory,55,"Indonesia-Aceh peace process","Asia and Pacific",1196,1,"Report on the Meeting between the Aceh Free Movement (GAM) and the Republic of Indonesia (RI)",2001-02-10,"Multiparty signed/agreed",3,2455,Intra,Cea,Ceas,"Representatives of the Government of the RI on behalf of field commanders of the Aceh Police
1. KBP Drs. Suyitno
2. KBP. Drs. M. Daulay

Representatives of the Free Aceh Movement on behalf of Field Commanders of the GAM:

1. TGK. Amri bin Abdul Wahab
2. Tgk. Saiful bin Muhammad Ali
","The Aceh Free Movement (GAM)
a. Tgk. Nashiruddi bin Ahmad (Member of JCSM)[Signed as Witness]
b. Tgk. Amni bin Ahmad Maracaki(?) (Member of JCSM)
c. Tgk. Sofyan Ibrahim Tiba, SH (Member of JCSM)
d. Tgk. Amri bib Abdul Wahab (Vice of Field Commander)

The Government of the Republic of Indonesia
a. KB. Pol. Drs. Ridwan Karim (Member of JCSM)[Signed as Witness]
b. Kol. CPM Drs. Sulaiman AB (Member of JCSM)
c. Kol. CHK. Balukia, SH (Member of JCSM)
d. KB. Pol Drs. Suyitno (Representative of Aceh Police)
e. KB. Pol Drs. Manalum Daulay (Representative of Aceh Police)

Monitoring Team of Security Modality (MTSM)
a. H. Muhammad Daim (MTSM)
b. Nasrullah Dahlawi (MTSM)

Henry Dunant Center (HDC)
a. Dominik Knill [Signed as witness]
b. Jean-Pierre Werder
c. David Gorman",,IDN,,850,,366,,,912,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,Government,59,"Iraq peace process - second Iraq war","Middle East and North Africa",343,1,"Constitution of Iraq",2005-10-15,"Multiparty signed/agreed",43,54793,Intra,SubComp,FrCons,"The committee drafting the Consitution is headed by Dr. Hamam Hamoudi and includes secular and religious Shi'a and Sunni, the two major Kurdish groups, women representing both the conservative Islamic tradition and the more secular liberal tradition, Turkmen, and other minority groups.",,,IRQ,,645,,420,,,227,No,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Ireland/United Kingdom/Northern Ireland",Government/territory,62,"Northern Ireland peace process","Europe and Eurasia",2270,4,"New Decade, New Approach ",2020-01-10,"Multiparty signed/agreed",62,109643,Intra,Imp,ExtSub,"Government of the United Kingdom
Government of the Republic of Ireland
Democratic Unionist Party
Sinn Féin
Ulster Unionist Party
Social Democratic and Labour Party
The Alliance Party of Northern Ireland",,"The Agreement Reached in the Multi-Party Negotiations (Good Friday Agreement or Belfast Agreement) Stormont House Agreement",GBR,IRL,200,205,315,,,,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
Israel/Palestine,Government/territory,63,"Israel-Palestine peace process","Middle East and North Africa",985,1,"Annex III, Concerning Civil Affairs, Israeli­ Palestinian Interim Agreement on The West Bank and the Gaza Strip (Oslo II)",1995-09-28,"Multiparty signed/agreed",63,150442,Intra,SubPar,Iss,"Israel, signed for by Yitzhak Rabin and Shimon Peres; PLO, signed for by Yasser Arafat;","William Clinton, U.S. President; Warren Christopher, U.S.; Amr Moussa, Egypt; Bjoern Tore Godal, Norway; Andrei V. Kozyrev, Russia; Hussein Ibn Talal, Jordan; Felipe Gonzalez, EU;",,ISR,,666,,234,,,,No,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Israel/Palestine,Government/territory,63,"Israel-Palestine peace process","Middle East and North Africa",36,1,"Protocol on Economic Relations",1994-04-29,"Multiparty signed/agreed",24,70382,Intra,Pre,Prin,"Israel, PLO","Agmt annex to Gaza-Jericho Agmt which was 'Witnessed By': The United States of America, 
The Russian Federation, 
The Arab Republic of Egypt","Declaration of Principles on Interim Self Government Arrangements signed in Washington D.C. on September 13, 1993 and the Agreed Minutes thereto; ",ISR,,666,,234,,,,No,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Government,65,"Kenya peace process","Africa (excl MENA)",785,1,"Nakuru County Peace Accord
",2012-08-19,"Multiparty signed/agreed",14,20019,IntraLocal,SubPar,MultIss,"Representatives of the Agikuyu community; Representatives of Kalenjin community; Representatives of other communities in Nakuru County

Also: Co-chairs of the Elders Committees: Mr Samuel Maigua, Hon Wilson Leitich; Patrons: Daniel Kamau Kanyi EBS, Gideon Toroitish EBS; Coordinators (Secretariat): Maina Muhai, Andrew Yatich; Founders: Ndungu Gaithuma, Joshua K Toroitich; Civil Society Groups: Youth, Women, Civil Society, Business Community; County Peace Monitor

","Criteria listed for Witness, Joining Signatories and Welcoming Signatories.
List of potential additional signatories: Community chairs: Abaluhya, Abagusii, Akamba, Ameru, Luo, Maasai, Mijikenda, Ogeik, Somali, Turkana; District Chairs (by Community): Bahati, Gilgil, Kuresoi, Nakuru, Naivasha, Molo, Njoro, Rongai, Subakai
",,KEN,,501,,NA,NA,NA,NA,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Kenya,Inter-group,140,"Kenya Local Agreements","Africa (excl MENA)",1945,2,"Modogashe Declaration (III)",2011-04-08,"Multiparty signed/agreed",7,5160,IntraLocal,SubPar,MultIss,"On behalf of Mandera County:vHussein Mohamed ADAN, Abdi Wili ABDULLAHI, Abdille Sheikh BILLOW
On behalf of Wajir County: Ali Abdi OGLE, Abdisalan Ibrahim ALI, Bishar Ali OLOW, 
On behalf of Garissa County: Dagane Karur OMAR, Hassan Abdi HURE, Hussein Noor Abdi
On behalf of Tana River County: Kahonzi Esther JARHA, Ijema Godana HASSAN, Aden Ibrahim ARALE
On behalf of Marsabit County: Guyo Karayu DIKA, Hassan Lolterka LENAROKI, Boru Arero BORU, 
On behalf of Sabburu County: Jason LESHOOMO, Peter P. LEKISAT, Benedicto L. LOLOSOLI
On behalf of Meru County: Linos Kathera M. ERIMBA, Mitabathi M.KIRIMANA KIRIMANA
On behalf of Nairobi County: Lucy Nyambura NDIRANGU, John Charles ODHIAMBO


","On behalf of North Eastern Province: Mr. James Ole Serian, EBS
On behalf of Coast Province: Mr. Ernest G. Munyi, EBS
On behalf of Eastern Province: Ms. Clare A. Omolo, EBS
On behalf of Rift Valley Province: Mr. Osman Warfa, EBS",,KEN,,501,,NA,NA,NA,NA,No,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Inter-group,140,"Kenya Local Agreements","Africa (excl MENA)",1943,2,"Sotik and Borabu Social Contract",2008-11-21,"Multiparty signed/agreed",3,5540,IntraLocal,SubPar,MultIss,"Representatives of Kisii and Kipsigis communities
","Agency for Co-operation and Research in Development (ACORD) 
The Cereal Growers Association (CGA)",,KEN,,501,,NA,NA,NA,NA,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,Government,65,"Kenya peace process","Africa (excl MENA)",696,1,"Kenya National Dialogue and Reconciliation: Public Statement",2008-02-04,"Multiparty signed/agreed",4,4682,Intra,SubPar,MultIss,"Government (PNU-Party National Unity) and ODM (Orange Democratic Movement); 
Government (PNU-Party National Unity) singed by Hon. Martha Karua, Hon. Sam Ongeri, Hon Tutula Kilonwo, Hon. Moses Wetang'ula
ODM signed by Hon. Musalisa Mudavidi, Hon. William Ruto, Hon. Sally Kosgei, Hon. James Orengo
","Witnessed by: For the Panel of Eminent African Personalities, H.E. Kofi A. Annan, Chairperson ",,KEN,,501,,NA,NA,NA,NA,No,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Libya,Inter-group,41,"Libyan transitional process","Middle East and North Africa",728,1,"Draft Constitutional Charter for the Transitional Stage: The Constitutional Declaration",2011-08-03,"Agreement with subsequent status",11,21252,Intra,SubComp,FrCons,"The Interim Transitional National Council",,,LBY,,620,,11346,,,,Yes,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mali/Azawad,Government,74,"Mali-Azawad Inter-Azawad peace process","Africa (excl MENA)",1365,1,"Accord Pour la Paix et la Reconciliation au Mali - Issu du Processus d'Alger",2015-06-20,"Multiparty signed/agreed",25,62633,Intra,SubComp,FrAg,"The Government of Mali and le Mouvement national de libération de l'Azawad (MNLA), le Haut Conseil pour l'unité de l'Azawad (HCUA) et le Mouvement arabe de l'Azawad (MAA), le Mouvement arabe de l'Azawad-dissident (MAA-dissident), la Coordination pour le peuple de l'Azawad (CPA) et la coordination des mouvements et fronts patriotiques de résistance (CMFPR).",,"Page 2, Preamble:
[...]
In the spirit of earlier Agreements, as well as the difficulties encountered in implementing and monitoring these;
Agree the following:
[...]
",MLI,,432,,372,30,NA,NA,Yes,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0
